timestamp_TW,uuid,ucid,upid,problem_number,exercise_problem_repeat_session,is_correct,total_sec_taken,total_attempt_cnt,used_hint_cnt,is_hint_used,points,badges_cnt,has_student_cnt,difficulty,learning_stage,cheating
2019-05-01 06:45:00+00:00,dJk8f4bqY/iRA7oVNzBYM8vtOm8XvgPxcoYy+mOwTuY=,tcefpcahExZLA6gms/r4H1DHPHzmBUwg8h7hfNlV4sc=,4pDOyeqUIPE/UY/LZjK2y/MsUUB5/+BsQcTsj8BMzFQ=,3,1,TRUE,8,1,0,FALSE,275719,10,0,easy,elementary,0
2019-05-01 07:30:00+00:00,yMtJ95VxxbuqWsxV5OicL3TYo86oC0Rn9iKy8cUm90s=,3cg9wquB/Sf1whKNOekAQ/XUQcTUeXeW01l06R+BbNE=,S0j1Ry8rhnymKIp/9fiiMiQVvu1J8a9VI/yKtwclACo=,8,1,TRUE,8,1,0,FALSE,60837,10,0,easy,elementary,0
2019-05-01 07:45:00+00:00,r4xa2pAreiDQeNzIJYkk/8IOzKJGvKqBguTqsIsKauU=,ViIxd7sl/Dp2C0nC24swu3Cm5o8UkaEMgyMuUp7pq0g=,t7MThCasM6oaABNzFzljWWlWNmHSFHauc4tCFAY+eAU=,8,2,TRUE,46,1,0,FALSE,582498,97,0,easy,elementary,0
2019-05-01 08:15:00+00:00,ESTiGJ4iybOV7T+zrZw+AgE0g8UNj7ZTbdpnMCd2R2U=,00KEZbwE/6qJ+WSl9TwUEgbwi/wmnEVgeCnGzi4/EYo=,zbLAOaiLjHZDCBc6rPbuDqwsvUSeFxk9ofM4KBwwQes=,5,1,TRUE,33,1,0,FALSE,21300,1,0,normal,elementary,0
2019-05-01 08:15:00+00:00,fo0e8Za+Io+VdNu3Hy4GE2Ux1mTh76k2igiZtrThMCo=,00KEZbwE/6qJ+WSl9TwUEgbwi/wmnEVgeCnGzi4/EYo=,ged8VYe3DG5I55+Vkw+lP2LatMfGOor3nA6LILELx4E=,5,1,TRUE,115,1,0,FALSE,13125,1,0,normal,elementary,0
2019-05-01 08:15:00+00:00,SAK5/s3Cu9sMMaeeZiErQBkTfwfaKf17gt0eNBadTVg=,mWLymE1Nkn97ABCS6bLlR35/Hk/RnkkXXFmQaVMAFTQ=,sLp5hT5Mn/lRvZP45dKtdZlbL+8YSnO41+jWqesrpGs=,2,1,TRUE,33,1,0,FALSE,111905,8,0,easy,elementary,0
2019-05-01 08:15:00+00:00,qWlPuno+eXxldzvGJQH4vaGFKu3LpV9G9CVq8VVMzBI=,4ZORM6aG+AuCdVwSDcuY5CIGomxB+yV7jEQ3c7BV9w4=,PJ5mna6Wp/SsBAgsmM0lmfeNV4SBB+7VBykYBGC3hdE=,5,1,TRUE,19,1,0,FALSE,74555,28,0,easy,elementary,0
2019-05-01 08:15:00+00:00,SAK5/s3Cu9sMMaeeZiErQBkTfwfaKf17gt0eNBadTVg=,mWLymE1Nkn97ABCS6bLlR35/Hk/RnkkXXFmQaVMAFTQ=,xfBuluGfQq9AhjfekDydJlRhhL+hsKvy0GZuU6Rnwn4=,4,1,TRUE,586,1,0,FALSE,111905,8,0,easy,elementary,0
2019-05-01 08:15:00+00:00,86lS5Y1dSnPV/gMRtDYZPVo10BBBysvQh90qwxgYrJg=,DDlDJPD+Pf0lX8WBgnOUdm1wA1bnHc1lsKlvUct+Qb0=,NfrxM8W+Zp5YbNLXrYOElIVm8VwhKsJygX7Gz6hfYRw=,4,1,TRUE,7,1,0,FALSE,94579,16,0,normal,junior,1
2019-05-01 08:15:00+00:00,Bdp1Gu+kVJd0FQI1sTemEfIe3xwX1TxUt1bhP+2dJD8=,Jl92cIZYcCutl8sqyj2VP8UbUigvqBoHBO/R38DK1DU=,FWvyH/3fMXvBydyJH4kisDr61aB5+dgkx3/uNkd7lac=,5,1,TRUE,6,1,0,FALSE,400553,90,0,hard,elementary,1
